ID	gdp_2008	gdp_pps_2008	pop_t_2008	gdppercapita
SE311	8145000	6941000	273,826	29745,1666386684
SE312	9160000	7806000	275,618	33234,404139062
SE313	8422000	7177000	275,556	30563,6603811929
SE321	8231000	7014000	243,449	33809,9560893657
SE322	4142000	3530000	126,937	32630,3599423336
SE331	8167000	6960000	257,593	31705,0540969669
SE332	9505000	8100000	250,602	37928,6677680146
SI011	1442000	1783000	120,023	12014,3639135832
SI012	5050000	6246000	322,266	15670,2847957898
SI013	1028000	1271000	72,427	14193,6018335704
SI014	4273000	5285000	256,339	16669,332407476
SI015	540000	668000	44,716	12076,214330441
SI016	1062000	1314000	69,321	15320,0328904661
SI017	2406000	2975000	139,166	17288,7055746375
SI018	708000	875000	51,107	13853,2881992682
SI021	13479000	16669000	510,763	26389,9303590902
SI022	3113000	3850000	199,923	15570,9948330107
SI023	2098000	2595000	117,914	17792,6285258748
SI024	2105000	2604000	106,304	19801,700782661
SK010	16899000	25657000	610,85	27664,7294753213
SK021	7654000	11620000	557,151	13737,7479354789
SK022	6502000	9871000	599,831	10839,7198544257
SK023	7153000	10860000	706,758	10120,8617376811
SK031	7238000	10989000	695,698	10403,9396404762
SK032	5889000	8941000	654,668	8995,3991947063
SK041	5630000	8548000	801,939	7020,4841016586
SK042	7608000	11551000	774,103	9828,1494839834
TR100	137864000	229459000	12573,836	10964,3548714967
TR211	5748000	9567000	728,396	7891,3118688186
TR212	3570000	5942000	396,462	9004,6460947077
TR213	4234000	7047000	333,256	12704,9475478311
TR221	7167000	11929000	1118,313	6408,7603381164
TR222	3600000	5992000	476,128	7560,9920021507
TR310	32591000	54244000	3739,353	8715,6788888345
TR321	5647000	9399000	946,971	5963,2237946041
TR322	5326000	8865000	907,325	5870,0024798171
TR323	6997000	11646000	766,156	9132,6048480988
TR331	9695000	16136000	1319,92	7345,1421298261
TR332	3215000	5351000	701,572	4582,5660089057
TR333	3698000	6155000	583,91	6333,1677827062
TR334	1463000	2435000	334,115	4378,7318737561
TR411	23231000	38665000	2439,876	9521,3855130343
TR412	7679000	12781000	724,849	10593,930597959
TR413	2154000	3585000	203,777	10570,3784038434
TR421	20644000	34360000	1437,926	14356,7888750882
TR422	4310000	7174000	835,222	5160,3046854609
TR423	996000	1658000	323,328	3080,4631828979
TR424	3107000	5171000	270,417	11489,6622623578
TR425	1617000	2691000	181,758	8896,4447232034
TR510	42466000	70680000	4466,756	9507,12329037
TR521	10371000	17261000	1959,082	5293,8059764727
TR522	1456000	2423000	226,049	6441,0813584665
TR611	14456000	24060000	1789,295	8079,1596690317
TR612	2898000	4823000	419,845	6902,5473686718
TR613	1867000	3107000	251,181	7432,8870416154
TR621	10371000	17261000	2006,65	5168,3153514564
TR622	9534000	15868000	1595,938	5973,9162799557
TR631	6453000	10740000	1386,224	4655,0918177726
TR632	4710000	7839000	1004,414	4689,3014235166
TR633	1605000	2671000	452,88	3543,9851616322
TR711	2558000	4258000	280,234	9128,0858139983
TR712	952000	1585000	366,109	2600,3184843858
TR713	1525000	2538000	331,677	4597,8467002536
TR714	1603000	2668000	280,058	5723,8143527412
TR715	914000	1521000	223,17	4095,5325536587
TR721	6326000	10529000	1165,088	5429,6327831031
TR722	3444000	5732000	638,464	5394,1960705694
TR723	1935000	3221000	492,127	3931,9118845339
TR811	5114000	8512000	615,89	8303,4308074494
TR812	991000	1649000	218,463	4536,2372575677
TR813	548000	912000	182,131	3008,8233194788
TR821	1871000	3114000	360,366	5191,9437460804
TR822	880000	1465000	174,012	5057,122497299
TR823	918000	1528000	198,412	4626,7362861117
TR831	6097000	10148000	1228,959	4961,109361663
TR832	3431000	5711000	620,722	5527,4341814854
TR833	2974000	4950000	549,828	5408,9642579134
TR834	1583000	2635000	328,674	4816,3225566975
TR901	4320000	7190000	740,569	5833,3524627685
TR902	2731000	4545000	715,409	3817,3967618523
TR903	2356000	3921000	417,505	5643,0461910636
TR904	2023000	3367000	316,252	6396,7974906088
TR905	1172000	1951000	168,092	6972,3722723271
TR906	584000	972000	130,825	4463,9785973629
TRA11	3017000	5021000	784,941	3843,600984023
